"","ID","fishing.effort.df","Solution","Category","geometry"
"129",129,NA,"Outside","Escenario I: Ecológico ideal",c(-115.629103878, 29.7769455262143)
"130",130,NA,"Inside","Escenario I: Ecológico ideal",c(-115.629103878, 29.676945540527)
"131",131,21.0065150371847,"Inside","Escenario I: Ecológico ideal",c(-115.629103877998, 29.5769455546475)
"132",132,255.984703815984,"Inside","Escenario I: Ecológico ideal",c(-115.629103878, 29.4769455686)
"133",133,2.00065923733836,"Outside","Escenario I: Ecológico ideal",c(-115.629103877998, 28.0769457452645)
"134",134,NA,"Inside","Escenario I: Ecológico ideal",c(-115.529103877999, 29.6769455405266)
"135",135,NA,"Inside","Escenario I: Ecológico ideal",c(-115.529103878, 29.5769455546482)
"136",136,49.0080269522838,"Inside","Escenario I: Ecológico ideal",c(-115.529103878, 29.4769455686003)
"137",137,234.992990914487,"Inside","Escenario I: Ecológico ideal",c(-115.529103878, 29.3769455823683)
"138",138,9.02102925622583,"Outside","Escenario I: Ecológico ideal",c(-115.529103878001, 28.3769457102935)
"139",139,412.962961409897,"Outside","Escenario I: Ecológico ideal",c(-115.529103878001, 28.2769457221173)
"140",140,412.986077979384,"Outside","Escenario I: Ecológico ideal",c(-115.529103878, 28.176945733775)
"141",141,12.9995734199233,"Outside","Escenario I: Ecológico ideal",c(-115.529103878001, 28.076945745264)
"142",142,39.9980967007763,"Outside","Escenario I: Ecológico ideal",c(-115.529103878, 27.9769457565732)
"143",143,35.0018394761547,"Outside","Escenario I: Ecológico ideal",c(-115.529103877999, 27.8769457677247)
"144",144,NA,"Outside","Escenario I: Ecológico ideal",c(-115.429103878, 29.5769455546489)
"145",145,23.0010082800372,"Outside","Escenario I: Ecológico ideal",c(-115.429103878, 29.4769455685997)
"146",146,47.0059505227943,"Outside","Escenario I: Ecológico ideal",c(-115.429103878001, 29.3769455823694)
"147",147,113.000146084774,"Outside","Escenario I: Ecológico ideal",c(-115.429103878003, 29.2769455959559)
"148",148,31.0085190082779,"Outside","Escenario I: Ecológico ideal",c(-115.429103878001, 28.5769456861092)
"149",149,28.0138208090567,"Outside","Escenario I: Ecológico ideal",c(-115.429103878002, 28.4769456982878)
"150",150,16.0004145702349,"Outside","Escenario I: Ecológico ideal",c(-115.429103878, 28.3769457102937)
"151",151,2.01673874973137,"Outside","Escenario I: Ecológico ideal",c(-115.429103878, 28.2769457221172)
"152",152,2.01593858707182,"Outside","Escenario I: Ecológico ideal",c(-115.429103878002, 28.1769457337756)
"153",153,177.983490029593,"Outside","Escenario I: Ecológico ideal",c(-115.429103878, 28.0769457452626)
"154",154,421.97114047898,"Outside","Escenario I: Ecológico ideal",c(-115.429103878001, 27.9769457565746)
"155",155,84.0175939375801,"Outside","Escenario I: Ecológico ideal",c(-115.429103878002, 27.8769457677228)
"156",156,NA,"Outside","Escenario I: Ecológico ideal",c(-115.329103877999, 29.5769455546497)
"157",157,NA,"Outside","Escenario I: Ecológico ideal",c(-115.329103878, 29.4769455686)
"158",158,39.0003101879063,"Outside","Escenario I: Ecológico ideal",c(-115.329103877998, 29.3769455823687)
"159",159,26.0041011601479,"Outside","Escenario I: Ecológico ideal",c(-115.329103877997, 29.2769455959567)
"160",160,33.0031068201991,"Outside","Escenario I: Ecológico ideal",c(-115.329103878, 28.5769456861097)
"161",161,8.00220012301232,"Outside","Escenario I: Ecológico ideal",c(-115.329103877999, 28.4769456982871)
"162",162,1.00098143164203,"Outside","Escenario I: Ecológico ideal",c(-115.329103878, 28.3769457102935)
